event,date,fighter_1,fighter_2,weight,result,method,round,time
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Carlos Ulberg,Jiri Prochazka,Light Heavyweight,win,"KO/TKO

      

        Punch",1,3:45
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Paulo Costa,Azamat Murzakanov,Light Heavyweight,win,"KO/TKO

      

        Kick",3,1:23
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Josh Hokit,Curtis Blaydes,Heavyweight,win,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Dominick Reyes,Johnny Walker,Light Heavyweight,win,S-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Cub Swanson,Nate Landwehr,Featherweight,win,"KO/TKO

      

        Punch",1,4:06
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Aaron Pico,Patricio Pitbull,Featherweight,win,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Kevin Holland,Randy Brown,Welterweight,win,U-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Mateusz Gamrot,Esteban Ribovics,Lightweight,win,"SUB

      

        Arm Triangle",2,4:19
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Tatiana Suarez,Loopy Godinez,Women's Strawweight,win,"SUB

      

        Rear Naked Choke",2,2:29
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Chris Padilla,MarQuel Mederos,Lightweight,"draw


draw",M-DEC,3,5:00
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Vicente Luque,Kelvin Gastelum,Middleweight,win,"SUB

      

        Anaconda Choke",1,4:08
UFC 327: Prochazka vs. Ulberg,"April 11, 2026",Charles Radtke,Francisco Prado,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Renato Moicano,Chris Duncan,Lightweight,win,"SUB

      

        Rear Naked Choke",2,3:14
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Virna Jandiroba,Tabatha Ricci,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Abdul Rakhman Yakhyaev,Brendson Ribeiro,Light Heavyweight,win,"SUB

      

        Rear Naked Choke",1,2:52
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Ethyn Ewing,Rafael Estevam,Bantamweight,win,"KO/TKO

      

        Punch",3,1:44
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Tommy McMillen,Manolo Zecchini,Featherweight,win,"KO/TKO

      

        Knee",1,3:57
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Jose Delano,Robert Ruchala,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Thomas Petersen,Guilherme Pat,Heavyweight,win,M-DEC,3,5:00
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Alessandro Costa,Stewart Nicoll,Flyweight,win,"KO/TKO

      

        Punch",2,4:56
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Darrius Flowers,Lando Vannata,Lightweight,win,"KO/TKO

      

        Punches",2,0:52
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Alice Pereira,Hailey Cowan,Women's Bantamweight,win,"KO/TKO

      

        Knee",2,4:24
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Tresean Gore,Azamat Bekoev,Middleweight,win,"SUB

      

        Guillotine Choke",3,3:27
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",Dione Barbosa,Melissa Gatto,Women's Flyweight,win,M-DEC,3,5:00
