Fighter,Elo Rating
Jon Jones,1317.48
Georges St-Pierre,1297.84
Islam Makhachev,1269.12
Max Holloway,1237.45
Khabib Nurmagomedov,1236.75
Belal Muhammad,1234.85
Leon Edwards,1222.11
Aljamain Sterling,1214.46
Amanda Nunes,1211.62
Charles Oliveira,1210.57
Francis Ngannou,1205.07
Robert Whittaker,1202.65
Kamaru Usman,1200.32
Demetrious Johnson,1200.3
Stipe Miocic,1195.17
Dustin Poirier,1193.84
Alexander Volkanovski,1188.26
Merab Dvalishvili,1185.36
Deiveson Figueiredo,1183.75
Dricus Du Plessis,1177.38
Valentina Shevchenko,1176.42
Daniel Cormier,1172.89
Ryan Bader,1169.65
Magomed Ankalaev,1166.65
Beneil Dariush,1164.98
Colby Covington,1163.15
Sean Strickland,1161.65
Alex Pereira,1159.79
Israel Adesanya,1159.78
Alexandre Pantoja,1159.3
Royce Gracie,1158.12
Alexander Volkov,1157.88
Jon Fitch,1156.52
Arman Tsarukyan,1155.19
Movsar Evloev,1153.93
Arnold Allen,1151.93
Ciryl Gane,1151.78
TJ Dillashaw,1151.17
Ian Machado Garry,1150.91
Brendan Allen,1150.89
Sean O'Malley,1150.76
Randy Brown,1150.23
Cain Velasquez,1150.08
Khamzat Chimaev,1149.55
Tom Aspinall,1149.07
Benson Henderson,1148.42
Ilia Topuria,1148.39
Curtis Blaydes,1147.64
Zhang Weili,1147.43
Michael Bisping,1145.94
Glover Teixeira,1145.66
Raquel Pennington,1145.04
Jack Della Maddalena,1143.48
Jose Aldo,1143.04
Grant Dawson,1141.43
Anthony Johnson,1139.25
Manon Fiorot,1139.18
Gegard Mousasi,1138.43
Henry Cejudo,1136.36
Michel Pereira,1136.35
Shavkat Rakhmonov,1136.02
Renato Moicano,1135.68
Vicente Luque,1135.32
Don Frye,1134.24
Demian Maia,1134.18
Francisco Trinaldo,1134.01
Neil Magny,1133.45
Caio Borralho,1131.96
Cory Sandhagen,1131.76
Rose Namajunas,1131.26
Tatiana Suarez,1131.12
Sean Brady,1129.89
Maycee Barber,1128.11
Dong Hyun Kim,1127.52
Conor McGregor,1127.52
Dan Hooker,1127.36
Jan Blachowicz,1126.75
Drakkar Klose,1126.57
Muhammad Mokaev,1124.84
Matt Hughes,1124.78
John Lineker,1124.61
Justin Gaethje,1124.16
Rustam Khabilov,1122.66
Lyoto Machida,1122.12
Umar Nurmagomedov,1121.61
Josh Emmett,1121.36
Song Yadong,1121.2
Norma Dumont,1120.24
Derek Brunson,1117.85
Randy Couture,1117.84
Paddy Pimblett,1117.69
Lerone Murphy,1117.55
Jailton Almeida,1117.44
Gilbert Burns,1117.38
Nassourdine Imavov,1115.77
Yair Rodriguez,1114.81
Mario Bautista,1114.72
Derrick Lewis,1114.36
Jonathan Martinez,1113.51
Fabricio Werdum,1113.22
Joseph Benavidez,1113.03
Montel Jackson,1112.97
Natalia Silva,1112.78
Gregor Gillespie,1112.06
Zabit Magomedsharipov,1110.32
Kenny Florian,1109.21
