Fighter,Peak Elo
Islam Makhachev,2202.99
Jon Jones,2159.03
Kamaru Usman,2152.15
Leon Edwards,2143.7
Belal Muhammad,2103.94
Francis Ngannou,2098.37
Khabib Nurmagomedov,2081.47
Stipe Miocic,2079.52
Daniel Cormier,2074.74
Georges St-Pierre,2071.26
Alexander Volkanovski,2063.87
Charles Oliveira,2045.68
Aljamain Sterling,2044.16
Israel Adesanya,2022.9
Ilia Topuria,2021.48
Max Holloway,2014.85
Dricus Du Plessis,1999.56
Robert Whittaker,1980.13
Merab Dvalishvili,1980.11
Tyron Woodley,1968.6
Alex Pereira,1963.68
Magomed Ankalaev,1957.96
Dustin Poirier,1955.28
Jan Blachowicz,1951.83
Chris Weidman,1950.43
Justin Gaethje,1935.33
Glover Teixeira,1932.57
Tony Ferguson,1929.07
Khamzat Chimaev,1927.18
Anderson Silva,1910.11
Sean Brady,1908.39
Henry Cejudo,1903.16
Rafael Dos Anjos,1897.16
Ciryl Gane,1892.29
Tom Aspinall,1885.86
Colby Covington,1873.77
Shavkat Rakhmonov,1867.33
Robbie Lawler,1858.33
Yoel Romero,1855.67
Sean O'Malley,1849.8
Nassourdine Imavov,1845.95
Michael Bisping,1839.84
Luke Rockhold,1838.4
Anthony Johnson,1837.84
Arman Tsarukyan,1836.87
Jared Cannonier,1832.74
Gilbert Burns,1831.98
Joaquin Buckley,1828.57
Fabricio Werdum,1827.68
Beneil Dariush,1820.59
Yair Rodriguez,1818.53
Johny Hendricks,1818.51
Vicente Luque,1814.23
Movsar Evloev,1813.5
Conor McGregor,1812.69
Zhang Weili,1806.5
Cain Velasquez,1803.09
TJ Dillashaw,1801.79
Frankie Edgar,1797.68
Demian Maia,1796.67
Cory Sandhagen,1795.5
Derrick Lewis,1794.42
Benson Henderson,1792.17
Chuck Liddell,1790.75
Curtis Blaydes,1790.11
Sergei Pavlovich,1788.39
Jack Della Maddalena,1788.14
Brian Ortega,1775.29
Alistair Overeem,1773.99
Jorge Masvidal,1762.32
Donald Cerrone,1759.39
Deiveson Figueiredo,1755.55
Junior Dos Santos,1752.44
Brandon Moreno,1750.84
Gegard Mousasi,1747.04
Demetrious Johnson,1745.63
Amanda Nunes,1738.8
Derek Brunson,1738.18
Kelvin Gastelum,1738.17
Jose Aldo,1737.22
Alexander Volkov,1736.32
Marlon Vera,1735.25
Stephen Thompson,1731.5
Mateusz Gamrot,1730.93
BJ Penn,1729.93
Josh Emmett,1726.9
Valentina Shevchenko,1726.63
Jiri Prochazka,1723.39
Sean Strickland,1721.74
Petr Yan,1718.11
Ryan Bader,1715.67
Alexandre Pantoja,1714.89
Michael Chiesa,1712.68
Manon Fiorot,1709.55
Brendan Allen,1707.06
Anthony Pettis,1705.41
Lyoto Machida,1703.93
Rose Namajunas,1703.78
Arnold Allen,1702.12
Jacare Souza,1701.85
Santiago Ponzinibbio,1700.34
Anthony Smith,1699.65
Carlos Ulberg,1699.61
Nate Diaz,1699.46
Lerone Murphy,1695.73
Anthony Hernandez,1690.09
Rashad Evans,1687.99
Kevin Lee,1687.15
Marlon Moraes,1686.39
Diego Lopes,1684.75
Jon Fitch,1683.93
Dan Hooker,1676.19
Joseph Benavidez,1675.95
Ian Machado Garry,1673.9
Andrei Arlovski,1671.96
Neil Magny,1671.96
Carla Esparza,1670.25
Renato Moicano,1668.48
Geoff Neal,1667.63
TJ Grant,1667.46
Gray Maynard,1666.85
Marvin Vettori,1666.21
Randy Couture,1664.6
Matt Hughes,1663.56
Diego Ferreira,1663.53
Jamahal Hill,1662.88
Virna Jandiroba,1661.65
Jailton Almeida,1658.41
Jessica Andrade,1658.02
Vitor Belfort,1656.31
Rafael Fiziev,1656.02
Roman Dolidze,1643.75
Al Iaquinta,1642.74
Dominick Cruz,1642.53
Rob Font,1639.92
Caio Borralho,1639.1
Mario Bautista,1633.38
Thiago Alves,1632.49
Jack Hermansson,1632.48
Edson Barboza,1631.46
Mark Coleman,1628.87
Alexander Gustafsson,1627.94
Rich Franklin,1625.72
Carlos Condit,1625.04
Erin Blanchfield,1624.43
Song Yadong,1622.92
Brandon Royval,1621.32
Dan Henderson,1619.78
Chan Sung Jung,1618.96
Alexa Grasso,1617.39
Royce Gracie,1614.22
Dan Severn,1613.51
Paddy Pimblett,1613.24
Darren Till,1610.31
Umar Nurmagomedov,1610.15
Chad Mendes,1609.31
Grant Dawson,1607.14
Corey Anderson,1607.05
Rory MacDonald,1606.94
Dominick Reyes,1606.86
James Vick,1604.64
Calvin Kattar,1598.58
Cody Garbrandt,1597.26
Chael Sonnen,1596.06
Tito Ortiz,1594.23
Kenny Florian,1593.66
Jonathan Martinez,1591.94
Renan Barao,1591.46
Paulo Costa,1590.64
Josh Koscheck,1588.67
Cub Swanson,1586.18
Ricardo Lamas,1585.55
Nikita Krylov,1584.65
Uriah Hall,1584.38
Kevin Holland,1580.21
Jairzinho Rozenstruik,1579.22
Quinton Jackson,1579.17
Tai Tuivasa,1578.64
Michel Pereira,1577.82
Rick Story,1576.98
Martin Kampmann,1576.05
Jussier Formiga,1575.64
Matt Brown,1573.27
Anthony Rocco Martin,1572.29
Nate Marquardt,1571.98
John Lineker,1570.69
Raphael Assuncao,1569.97
Brock Lesnar,1569.49
Michael Morales,1569.18
Phil Davis,1568.98
Daniel Rodriguez,1568.76
Thiago Santos,1568.68
Randy Brown,1566.79
Pedro Munhoz,1565.29
Mark Munoz,1564.33
Norma Dumont,1563.66
Giga Chikadze,1563.37
Alex Oliveira,1561.6
Aleksandar Rakic,1561.06
King Green,1560.15
Raquel Pennington,1559.54
George Sotiropoulos,1559.34
Serghei Spivac,1558.59
Jim Miller,1558.5
Mike Swick,1558.41
Joanna Jedrzejczyk,1557.47
Yushin Okami,1557.28
Darren Elkins,1554.51
Julianna Pena,1551.26
Gregor Gillespie,1550.52
Andre Muniz,1550.12
Eddie Alvarez,1549.45
Elizeu Zaleski dos Santos,1548.0
Maycee Barber,1547.89
Tim Sylvia,1545.03
Thales Leites,1544.05
Mark Hunt,1543.93
Li Jingliang,1542.69
Yan Xiaonan,1542.5
Marina Rodriguez,1541.81
Ben Rothwell,1538.71
Ricky Simon,1538.12
Dan Hardy,1536.37
Tatiana Suarez,1535.79
Muslim Salikhov,1534.72
Gunnar Nelson,1533.96
Katlyn Cerminara,1533.92
Travis Browne,1533.3
Benoit Saint Denis,1532.54
Dennis Siver,1532.02
Zabit Magomedsharipov,1527.94
