Fighter,Peak Elo
Jon Jones,1330.96
Georges St-Pierre,1298.36
Kamaru Usman,1274.56
Islam Makhachev,1268.8
Anderson Silva,1260.73
Leon Edwards,1243.96
Tony Ferguson,1240.13
Charles Oliveira,1239.92
Alexander Volkanovski,1239.24
Max Holloway,1237.82
Khabib Nurmagomedov,1237.01
Dustin Poirier,1235.65
Donald Cerrone,1235.07
Belal Muhammad,1234.54
Demetrious Johnson,1232.11
Aljamain Sterling,1227.81
Chuck Liddell,1218.68
Israel Adesanya,1218.62
Stipe Miocic,1218.5
Beneil Dariush,1215.26
Daniel Cormier,1214.82
Amanda Nunes,1211.65
Demian Maia,1207.41
Robert Whittaker,1206.15
Francis Ngannou,1205.11
Rashad Evans,1204.03
Glover Teixeira,1198.98
Chris Weidman,1195.99
Jon Fitch,1193.66
Frankie Edgar,1192.32
Matt Hughes,1192.01
Rafael Dos Anjos,1191.34
Deiveson Figueiredo,1189.5
Vicente Luque,1186.7
Joseph Benavidez,1185.99
Merab Dvalishvili,1185.84
Valentina Shevchenko,1185.18
Michael Bisping,1184.66
Neil Magny,1183.18
Derrick Lewis,1181.51
Colby Covington,1180.92
Cain Velasquez,1180.9
Gilbert Burns,1180.65
Royce Gracie,1179.45
Dricus Du Plessis,1177.09
Curtis Blaydes,1177.06
Junior Dos Santos,1176.56
Tyron Woodley,1176.25
Alex Pereira,1175.96
Henry Cejudo,1175.51
Johny Hendricks,1175.24
Brendan Allen,1175.13
TJ Dillashaw,1174.22
Ilia Topuria,1173.88
Andrei Arlovski,1173.73
Tito Ortiz,1173.56
Khamzat Chimaev,1172.64
Arnold Allen,1172.36
Magomed Ankalaev,1171.82
Sean O'Malley,1171.04
Ryan Bader,1169.76
Sean Strickland,1167.91
Robbie Lawler,1166.44
Derek Brunson,1166.09
Yoel Romero,1165.34
Grant Dawson,1161.02
Conor McGregor,1160.77
Jan Blachowicz,1160.69
Anthony Johnson,1160.45
Darren Elkins,1159.65
Alexandre Pantoja,1159.08
Alexander Volkov,1157.86
Josh Koscheck,1157.49
Benson Henderson,1156.88
Francisco Trinaldo,1156.26
Arman Tsarukyan,1155.85
Raphael Assuncao,1155.51
Cory Sandhagen,1154.79
Lyoto Machida,1154.55
Yair Rodriguez,1154.29
Gray Maynard,1153.96
Movsar Evloev,1153.8
Jim Miller,1153.39
BJ Penn,1152.77
Ciryl Gane,1151.78
Ian Machado Garry,1150.91
Rich Franklin,1150.87
Dong Hyun Kim,1150.78
Yushin Okami,1150.41
Jose Aldo,1150.2
Marlon Vera,1149.92
Randy Brown,1149.53
John Lineker,1149.46
James Vick,1149.23
Tom Aspinall,1149.06
Zhang Weili,1147.45
Edson Barboza,1147.19
Joanna Jedrzejczyk,1145.02
Randy Couture,1144.91
Raquel Pennington,1144.34
Michael Chiesa,1143.99
Jack Della Maddalena,1143.47
Kelvin Gastelum,1142.98
Santiago Ponzinibbio,1142.82
Josh Emmett,1142.81
Vitor Belfort,1142.23
Kenny Florian,1141.99
Fabricio Werdum,1141.75
Mike Swick,1141.13
Stephen Thompson,1140.78
Michel Prazeres,1140.57
Jessica Andrade,1140.53
Kevin Lee,1139.62
Justin Gaethje,1139.46
Song Yadong,1139.17
Thiago Alves,1138.86
Manon Fiorot,1138.73
Thiago Santos,1138.63
Gegard Mousasi,1138.45
Petr Yan,1137.66
Rory MacDonald,1137.49
Brian Ortega,1136.89
Diego Sanchez,1136.54
Michel Pereira,1136.32
Rose Namajunas,1136.22
Mario Bautista,1135.93
Renato Moicano,1135.78
Dan Severn,1135.74
Shavkat Rakhmonov,1135.65
