fighter,rating,rd,volatility,last_fight,peak_rating
Jon Jones,1865.6154168528628,315.0,0.01,2023-03-04,1865.6154168528628
Georges St-Pierre,1835.2955903821542,249.78611501969652,0.01,2017-11-04,1835.2955903821542
Islam Makhachev,1820.7798886492637,195.8152110854323,0.01,2024-06-08,1820.7798886492637
Max Holloway,1786.6614208268875,50.19362252653115,654670.9953244114,2024-04-27,1786.6614208268875
Charles Oliveira,1779.6099805144447,42.222805521193976,0.01,2024-04-27,1810.3182993314329
Khabib Nurmagomedov,1774.8317206278118,304.48258385584325,246439657.00325632,2020-10-24,1774.8317206278118
Francis Ngannou,1758.8932619691207,151.9126830319185,0.01,2022-01-22,1758.8932619691207
Belal Muhammad,1757.7160156860991,119.49482691494055,0.01,2024-08-03,1757.7160156860991
Dustin Poirier,1752.5017332112286,51.97916423490951,0.01,2024-06-08,1788.8663444062058
Leon Edwards,1749.130155743353,201.33663918022825,220514684.70518932,2024-08-03,1771.1657862568566
Amanda Nunes,1748.35641815855,151.9985897968272,0.01,2023-06-10,1751.1891499633264
Stipe Miocic,1744.2953248543015,147.65261787834513,0.01,2021-03-27,1767.276127237146
Aljamain Sterling,1742.2725863626897,126.91175537946158,0.01,2024-04-27,1756.0561511292199
Robert Whittaker,1732.3576539365235,123.68426817318812,0.01,2024-06-29,1732.970671585022
Kamaru Usman,1731.297286681417,114.71832893306795,0.01,2023-10-21,1805.8965283969546
Demetrious Johnson,1731.2807189039518,115.10622071140054,56344883.51835917,2018-08-04,1759.8937065738937
Alexander Volkanovski,1721.1826336118431,132.33318725347797,0.01,2024-02-17,1766.636710890485
Deiveson Figueiredo,1721.1597885825222,130.6927544311563,0.01,2024-08-10,1721.1597885825222
Daniel Cormier,1718.2939220164033,179.09777566781418,0.01,2020-08-15,1759.9659889537213
Alex Pereira,1714.5305951882551,146.2982319227756,0.01,2024-10-12,1714.5305951882551
Dricus Du Plessis,1710.3111763516488,222.288802389069,0.01,2024-08-24,1710.3111763516488
Valentina Shevchenko,1702.683858641027,186.02233521042814,0.01,2024-09-28,1713.2796388310771
Ryan Bader,1701.256138936797,81.89825437193228,0.01,2016-11-19,1701.256138936797
Magomed Ankalaev,1700.707505920371,219.76945802450174,149722004.3611052,2024-01-13,1700.707505920371
Beneil Dariush,1700.4812955516406,98.66800837403187,0.01,2023-12-02,1743.8988885445785
Alexander Volkov,1700.02559264738,141.25665084773934,0.01,2024-06-29,1700.02559264738
Glover Teixeira,1699.1627459236126,85.62323561701736,16035193.153681392,2023-01-21,1755.8521065164323
Merab Dvalishvili,1697.0634610390973,189.6377200917165,175534218.62973565,2024-09-28,1697.0634610390973
Cain Velasquez,1694.8931500064873,315.0,912747664.612344,2019-02-17,1721.9674032600801
Royce Gracie,1692.46444229716,315.0,0.01,2006-05-27,1713.6691028731395
Tom Aspinall,1691.2527118437085,206.0967228977391,254695756.96199408,2024-08-03,1691.2527118437085
Colby Covington,1690.7762628592604,224.67490929891613,0.01,2023-12-16,1708.165680241638
Curtis Blaydes,1690.5318848837392,116.06468080322114,0.01,2024-08-03,1716.3267118751367
Israel Adesanya,1689.958311160194,102.50788921086651,20993401.604232892,2024-08-24,1744.83062934145
Ciryl Gane,1688.8268739157372,161.4050136649005,64820328.801187135,2023-09-02,1688.8268739157372
