event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Brandon Royval,Tatsuro Taira,win,S-DEC,5,5:00
UFC Fight Night: Royval vs. Taira,"October 19, 2024",JunYong Park,Brad Tavares,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Chidi Njokuani,Jared Gooden,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Grant Dawson,Rafa Garcia,win,"KO/TKO

      

        Punches",2,1:42
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Daniel Rodriguez,Alex Morono,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Ramazan Temirov,CJ Vergara,win,"KO/TKO

      

        Punch",1,2:50
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Pat Sabatini,Jonathan Pearce,win,"SUB

      

        Rear Naked Choke",1,4:06
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Themba Gorimbo,Niko Price,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Junior Tafa,Sean Sharaf,win,"KO/TKO

      

        Punches",2,2:15
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Julia Polastri,Cory McKenna,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Cody Haddon,Dan Argueta,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,"October 19, 2024",Clayton Carpenter,Lucas Rocha,win,"SUB

      

        Rear Naked Choke",2,2:12
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Alex Pereira,Khalil Rountree Jr.,win,"KO/TKO

      

        Punch",4,4:32
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Julianna Pena,Raquel Pennington,win,S-DEC,5,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Mario Bautista,Jose Aldo,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Roman Dolidze,Kevin Holland,win,KO/TKO,1,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Kayla Harrison,Ketlen Vieira,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Joaquin Buckley,Stephen Thompson,win,"KO/TKO

      

        Punch",3,2:17
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Iasmin Lucindo,Marina Rodriguez,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Alexander Hernandez,Austin Hubbard,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Cesar Almeida,Ihor Potieria,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Ryan Spann,Ovince Saint Preux,win,"SUB

      

        Guillotine Choke",1,1:35
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Tecia Pennington,Carla Esparza,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,"October 12, 2024",Court McGee,Tim Means,win,"SUB

      

        Rear Naked Choke",1,3:19
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Renato Moicano,Benoit Saint Denis,win,KO/TKO,2,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Nassourdine Imavov,Brendan Allen,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",William Gomis,Joanderson Brito,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Bryan Battle,Kevin Jousset,win,"KO/TKO

      

        Punches",2,3:47
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Morgan Charriere,Gabriel Miranda,win,"KO/TKO

      

        Punch",2,0:27
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Fares Ziam,Matt Frevola,win,"KO/TKO

      

        Knee",3,2:59
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Ion Cutelaba,Ivan Erslan,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Oumar Sy,Da Woon Jung,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Ludovit Klein,Roosevelt Roberts,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Taylor Lapilus,Vince Morales,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Ailin Perez,Daria Zhelezniakova,win,"SUB

      

        Arm Triangle",1,3:52
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Daniel Barez,Victor Altamirano,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Jacqueline Cavalcanti,Nora Cornolle,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"October 05, 2024",Chris Duncan,Bolaji Oki,win,"SUB

      

        Guillotine Choke",1,3:34
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Merab Dvalishvili,Sean O'Malley,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Valentina Shevchenko,Alexa Grasso,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Diego Lopes,Brian Ortega,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Esteban Ribovics,Daniel Zellhuber,win,S-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Ronaldo Rodriguez,Ode Osbourne,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Norma Dumont,Irene Aldana,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Ignacio Bahamondes,Manuel Torres,win,"KO/TKO

      

        Punch",1,4:02
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Ketlen Souza,Yazmin Jauregui,win,"SUB

      

        Rear Naked Choke",1,3:02
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Joshua Van,Edgar Chairez,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 28, 2024",Raul Rosas Jr.,Aoriqileng,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Sean Brady,Gilbert Burns,win,U-DEC,5,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Natalia Silva,Jessica Andrade,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Steve Garcia,Kyle Nelson,win,"KO/TKO

      

        Elbows",1,3:59
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Cody Durden,Matt Schnell,win,"SUB

      

        Guillotine Choke",2,0:29
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Yanal Ashmouz,Trevor Peek,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Chris Padilla,Rongzhu,win,KO/TKO,2,4:14
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Isaac Dulgarian,Brendon Marotte,win,"SUB

      

        Arm Triangle",2,4:19
