Fighter,Peak Elo
Jon Jones,1354.71
Georges St-Pierre,1314.17
Islam Makhachev,1292.79
Kamaru Usman,1290.48
Anderson Silva,1285.89
Charles Oliveira,1265.49
Tony Ferguson,1262.73
Max Holloway,1260.27
Leon Edwards,1257.81
Khabib Nurmagomedov,1255.15
Donald Cerrone,1253.95
Dustin Poirier,1252.53
Alexander Volkanovski,1252.44
Demetrious Johnson,1246.17
Belal Muhammad,1243.87
Aljamain Sterling,1240.64
Stipe Miocic,1240.14
Daniel Cormier,1237.59
Chuck Liddell,1237.39
Francis Ngannou,1233.96
Israel Adesanya,1232.23
Amanda Nunes,1228.64
Demian Maia,1225.08
Beneil Dariush,1224.08
Glover Teixeira,1222.85
Chris Weidman,1217.01
Robert Whittaker,1216.38
Rashad Evans,1214.73
Vicente Luque,1213.11
Matt Hughes,1210.31
Frankie Edgar,1210.03
Rafael Dos Anjos,1203.57
Deiveson Figueiredo,1202.9
Jon Fitch,1202.72
Royce Gracie,1200.85
Cain Velasquez,1199.29
Valentina Shevchenko,1199.01
Alex Pereira,1196.01
Derrick Lewis,1195.86
Gilbert Burns,1195.49
Joseph Benavidez,1195.48
Dricus Du Plessis,1195.32
Tyron Woodley,1194.93
Michael Bisping,1194.29
Ilia Topuria,1192.91
TJ Dillashaw,1192.27
Andrei Arlovski,1191.29
Curtis Blaydes,1191.08
Khamzat Chimaev,1190.65
Colby Covington,1190.23
Junior Dos Santos,1190.11
Brendan Allen,1189.92
Merab Dvalishvili,1189.53
Johny Hendricks,1189.02
Tito Ortiz,1187.62
Henry Cejudo,1187.26
Neil Magny,1186.72
Sean O'Malley,1185.95
Magomed Ankalaev,1185.87
Yoel Romero,1182.69
Arnold Allen,1182.31
Robbie Lawler,1178.18
Derek Brunson,1177.66
Anthony Johnson,1177.56
Jan Blachowicz,1177.23
Conor McGregor,1176.72
Alexander Volkov,1174.64
Sean Strickland,1174.39
Ryan Bader,1174.11
BJ Penn,1173.46
Alexandre Pantoja,1172.78
Marlon Vera,1170.9
Josh Koscheck,1170.81
Cory Sandhagen,1170.78
Grant Dawson,1170.08
Tom Aspinall,1169.94
Yair Rodriguez,1169.43
Ciryl Gane,1169.28
Arman Tsarukyan,1169.26
Lyoto Machida,1165.74
Jim Miller,1165.64
Darren Elkins,1165.49
Rich Franklin,1164.91
Francisco Trinaldo,1163.34
Vitor Belfort,1163.29
John Lineker,1162.58
Raphael Assuncao,1162.17
James Vick,1159.65
Benson Henderson,1159.54
Kenny Florian,1158.86
Ian Machado Garry,1158.81
Jack Della Maddalena,1158.74
Gray Maynard,1158.51
Jose Aldo,1158.33
Yushin Okami,1157.28
Fabricio Werdum,1157.01
Randy Brown,1157.01
Justin Gaethje,1156.91
Zhang Weili,1156.66
Shavkat Rakhmonov,1155.81
Kelvin Gastelum,1155.41
Movsar Evloev,1155.2
Santiago Ponzinibbio,1155.1
Stephen Thompson,1154.72
Randy Couture,1154.67
Dong Hyun Kim,1154.66
Mike Swick,1154.44
Gegard Mousasi,1154.3
Edson Barboza,1153.98
Brian Ortega,1153.59
Thiago Santos,1153.29
Thiago Alves,1153.22
Kevin Lee,1153.08
Brandon Moreno,1152.61
Josh Emmett,1151.72
Song Yadong,1151.41
Don Frye,1151.03
Michael Chiesa,1150.38
Raquel Pennington,1150.02
Petr Yan,1149.59
Joanna Jedrzejczyk,1149.42
Jessica Andrade,1149.15
Jacare Souza,1149.02
Jorge Masvidal,1148.86
Renato Moicano,1148.8
Michel Pereira,1148.47
Diego Sanchez,1147.47
Michel Prazeres,1147.25
Rory MacDonald,1146.94
Dan Severn,1146.72
Rose Namajunas,1145.47
Manon Fiorot,1144.23
Tatiana Suarez,1143.91
George Sotiropoulos,1143.54
Thales Leites,1142.94
Leonardo Santos,1142.63
Frank Mir,1142.54
Jonathan Martinez,1142.32
Rani Yahya,1142.2
Mario Bautista,1142.04
Dan Hooker,1142.02
Matt Brown,1141.18
Renan Barao,1141.17
Jared Cannonier,1140.64
Evan Tanner,1139.3
Alexander Gustafsson,1139.11
Cub Swanson,1138.55
Caio Borralho,1138.41
Maycee Barber,1137.79
Giga Chikadze,1137.66
Sean Brady,1137.3
Anthony Smith,1137.24
Diego Ferreira,1136.85
Phil Davis,1136.56
Mark Coleman,1136.38
Matt Hamill,1136.1
Sergei Pavlovich,1135.97
Joaquin Buckley,1135.69
Mateusz Gamrot,1135.02
Lerone Murphy,1134.22
Rustam Khabilov,1133.86
Rob Font,1133.78
Muhammad Mokaev,1133.06
Al Iaquinta,1132.62
Brad Tavares,1132.53
Alistair Overeem,1132.09
Ricky Simon,1131.87
Pat Miletich,1131.53
Erin Blanchfield,1131.38
Ricardo Lamas,1131.1
Umar Nurmagomedov,1130.95
Drakkar Klose,1130.5
Cody Garbrandt,1130.36
Jailton Almeida,1129.84
Chris Gutierrez,1129.65
Nate Diaz,1129.59
Alex Oliveira,1129.51
Chad Mendes,1129.5
Martin Kampmann,1128.77
Carla Esparza,1128.71
Dominick Reyes,1128.58
Luke Rockhold,1128.54
Paddy Pimblett,1127.94
Carlos Ulberg,1127.93
Nate Marquardt,1127.77
Ronda Rousey,1127.33
Jake Ellenberger,1127.2
Kevin Holland,1127.02
Nassourdine Imavov,1126.99
Marvin Vettori,1126.9
Tim Sylvia,1126.79
Mike Pierce,1125.6
Gleison Tibau,1124.96
Gregor Gillespie,1124.94
Elizeu Zaleski dos Santos,1124.73
Katlyn Cerminara,1124.72
Daniel Rodriguez,1124.58
Alexa Grasso,1124.5
Geoff Neal,1124.32
Montel Jackson,1124.28
Pedro Munhoz,1124.08
Sergio Moraes,1123.46
Quinton Jackson,1123.18
Myles Jury,1122.4
Jens Pulver,1121.83
Li Jingliang,1121.24
Stefan Struve,1120.95
Dennis Bermudez,1120.48
TJ Grant,1120.34
Alex Morono,1120.31
Norma Dumont,1120.31
Mark Munoz,1120.25
Jamahal Hill,1119.99
Cheick Kongo,1119.45
Paul Felder,1119.1
Mairbek Taisumov,1119.05
Rafael Fiziev,1118.63
Marcus Davis,1118.46
Tai Tuivasa,1118.45
Tatsuro Taira,1118.41
Anthony Hernandez,1118.24
Zabit Magomedsharipov,1118.08
Natalia Silva,1117.42
Travis Browne,1117.01
Michael Morales,1116.54
Jack Hermansson,1115.93
Urijah Faber,1115.65
Dominick Cruz,1115.56
Francis Carmont,1115.44
Jussier Formiga,1115.42
Bryce Mitchell,1115.23
Melvin Guillard,1115.16
Marcin Tybura,1114.87
Rinat Fakhretdinov,1114.66
Corey Anderson,1114.65
Drew Dober,1114.6
Alejandro Perez,1114.55
Karo Parisyan,1114.49
Gunnar Nelson,1114.34
Rick Story,1113.73
Elias Theodorou,1113.38
Roger Huerta,1113.33
Nik Lentz,1113.32
Alan Belcher,1112.55
James Krause,1112.55
Anthony Pettis,1112.49
Paulo Costa,1112.44
Julianna Pena,1112.36
Matt Mitrione,1111.98
Chan Sung Jung,1111.88
Roman Dolidze,1111.5
Pedro Rizzo,1111.27
Ricco Rodriguez,1111.14
Zak Cummings,1111.13
Diego Lopes,1110.67
Matheus Nicolau,1110.62
Andre Muniz,1110.47
Marina Rodriguez,1109.9
Uriah Hall,1109.89
Ken Shamrock,1109.88
Said Nurmagomedov,1109.39
Yan Xiaonan,1108.82
Germaine de Randamie,1108.73
Anthony Rocco Martin,1108.33
Jake Matthews,1108.14
Amanda Lemos,1108.13
Calvin Kattar,1108.04
Dennis Siver,1107.61
Forrest Griffin,1107.44
Aleksandar Rakic,1107.39
Sodiq Yusuff,1107.39
John Hathaway,1107.19
Frank Shamrock,1106.91
Kyoji Horiguchi,1106.64
Ovince Saint Preux,1106.54
Darren Till,1106.31
Dan Ige,1106.03
Brandon Royval,1105.69
Antonio Carlos Junior,1105.5
Olivier Aubin-Mercier,1105.37
Jimmie Rivera,1105.34
Mike Pyle,1104.82
John Dodson,1104.54
Joe Lauzon,1104.51
Claudio Silva,1104.34
Nicolas Dalby,1104.07
Alex Perez,1103.47
Jairzinho Rozenstruik,1103.43
Sam Alvey,1103.11
Virna Jandiroba,1102.86
Ryan Spann,1102.59
Gregory Rodrigues,1102.57
Josh Barnett,1102.42
David Teymur,1102.29
Nikita Krylov,1102.06
Rousimar Palhares,1102.04
Adrian Yanez,1102.03
Clay Guida,1101.85
Carlos Prates,1101.76
Alex Caceres,1101.54
Carlos Condit,1101.25
Serghei Spivac,1100.98
Marlon Moraes,1100.97
Oleg Taktarov,1100.73
Ryan LaFlare,1100.42
Amir Albazi,1100.27
Cristiane Justino,1100.2
Dan Henderson,1100.19
Daniel Kelly,1100.14
Matt Wiman,1100.12
Michael Johnson,1100.12
Nasrat Haqparast,1099.98
Joanderson Brito,1099.85
Mirsad Bektic,1099.54
Evan Dunham,1099.02
Kyung Ho Kang,1099.02
Krzysztof Jotko,1098.98
Shane Burgos,1098.89
Mauricio Rua,1098.88
Andre Petroski,1098.74
Bryan Battle,1098.64
Muslim Salikhov,1098.58
Nate Quarry,1098.51
Sean Woodson,1098.5
Gillian Robertson,1098.42
Kyler Phillips,1098.29
Vinc Pichel,1098.16
Raoni Barcelos,1098.06
Benoit Saint Denis,1097.6
Mackenzie Dern,1097.56
Alexandr Romanov,1097.49
Takeya Mizugaki,1096.82
Shane Carwin,1096.76
Jalin Turner,1096.61
Tyson Griffin,1096.35
Alonzo Menifield,1096.25
Jimi Manuwa,1095.89
Chas Skelly,1095.84
Khalil Rountree Jr.,1095.75
Mark Hunt,1095.31
Nathaniel Wood,1094.85
Matt Lindland,1094.7
Cody Stamann,1094.69
Joe Stevenson,1094.47
Jack Shore,1094.0
Khaos Williams,1093.84
Dan Hardy,1093.55
Ilir Latifi,1093.34
Chris Leben,1093.2
Jared Rosholt,1093.14
Da Woon Jung,1093.01
Omari Akhmedov,1092.99
Kai Kara-France,1092.76
Thiago Silva,1092.55
Tracy Cortez,1092.55
Sergio Pettis,1091.95
Tecia Pennington,1091.79
Paul Craig,1091.74
Chris Daukaus,1091.69
Jiri Prochazka,1091.52
Jeremy Stephens,1091.5
Spencer Fisher,1091.35
King Green,1091.35
Bryan Caraway,1090.9
Erik Perez,1090.84
Azamat Murzakanov,1090.67
Joel Alvarez,1090.55
Jonathan Pearce,1090.52
Damir Ismagulov,1090.46
Steve Garcia,1090.36
Ben Rothwell,1090.24
Tim Boetsch,1090.13
Warlley Alves,1090.07
Constantinos Philippou,1089.98
Brock Lesnar,1089.84
Jeremiah Wells,1089.63
Marco Ruas,1089.61
Yves Edwards,1089.51
Misha Cirkunov,1089.47
Ben Saunders,1089.42
JunYong Park,1089.26
Roy Nelson,1089.25
Iuri Alcantara,1089.19
Louis Smolka,1089.09
Abel Trujillo,1089.07
Ludovit Klein,1089.06
Ketlen Vieira,1088.41
Macy Chiasson,1088.34
Ryan Hall,1088.33
Tim Means,1088.13
Kurt Pellegrino,1087.82
Johnny Walker,1087.49
Irene Aldana,1087.44
Aleksei Oleinik,1087.4
Edmen Shahbazyan,1087.4
Brandon Vera,1087.17
Albert Tumenov,1086.84
Rashid Magomedov,1085.55
Gabriel Gonzaga,1085.38
Karine Silva,1085.12
Rafael Natal,1085.02
Brian Ebersole,1085.02
Sean Sherk,1084.93
Casey Kenney,1084.93
Mark Kerr,1084.87
Cezar Ferreira,1084.8
Cynthia Calvillo,1084.79
Thiago Tavares,1084.74
Amanda Ribas,1084.67
Scott Holtzman,1084.66
Mike Russow,1083.99
Aiemann Zahabi,1083.87
Jerry Bohlander,1083.58
Shara Magomedov,1083.33
Chepe Mariscal,1083.3
Marcus McGhee,1083.21
Claudio Puelles,1083.05
Wilson Gouveia,1082.96
William Gomis,1082.63
Mark Madsen,1082.37
Clint Hester,1082.24
Chael Sonnen,1081.87
Vladimir Matyushenko,1081.66
Dustin Jacoby,1081.33
Alan Jouban,1081.22
Guy Mezger,1081.16
Fares Ziam,1081.11
Jasmine Jasudavicius,1081.08
Tabatha Ricci,1081.0
Asu Almabayev,1080.98
Augusto Sakai,1080.95
Laverne Clark,1080.88
Loopy Godinez,1080.87
Bo Nickal,1080.72
Yancy Medeiros,1080.68
Michael McDonald,1080.64
Felice Herrig,1080.58
Joe Solecki,1080.53
Ross Pearson,1080.48
Chris Wade,1080.44
Thomas Almeida,1080.4
Brad Riddell,1079.92
Farid Basharat,1079.89
Hakeem Dawodu,1079.65
Marcos Rogerio de Lima,1079.49
Ramazan Emeev,1079.48
Stevie Ray,1079.34
Johnny Case,1079.31
Jordan Johnson,1079.1
Vitor Petrino,1078.8
Steven Siler,1078.69
Nordine Taleb,1078.62
Miranda Maverick,1078.58
Wilson Reis,1078.54
Alan Patrick,1078.4
Makwan Amirkhani,1078.29
Cole Miller,1078.16
Damon Jackson,1078.12
Casey O'Neill,1078.1
Cathal Pendred,1077.99
Mick Parkin,1077.72
John Howard,1077.69
Bryan Barberena,1077.68
James Te Huna,1077.53
Justin Willis,1077.44
Chris Camozzi,1077.19
Pat Sabatini,1076.74
Volkan Oezdemir,1076.66
Lauren Murphy,1076.41
Ed Herman,1076.36
Chris Curtis,1076.36
Chad Laprise,1076.27
Danny Castillo,1075.96
Ricardo Ramos,1075.88
Bruno Silva,1075.09
Aaron Simpson,1074.18
Davi Ramos,1074.13
Shawn Jordan,1074.02
CB Dollaway,1073.52
David Loiseau,1073.33
Nick Diaz,1073.14
David Abbott,1073.1
Dustin Ortiz,1073.08
Mike Perry,1072.77
Taylor Lapilus,1072.75
Ignacio Bahamondes,1072.65
Enrique Barzola,1072.41
Martin Buday,1072.32
Adriano Martins,1072.22
Karol Rosa,1072.16
Matthew Riddle,1072.05
Eddie Alvarez,1071.94
Jason Knight,1071.69
Hermes Franca,1071.5
John Makdessi,1071.46
Jon Madsen,1071.36
Holly Holm,1071.02
Waldo Cortes-Acosta,1070.98
John Moraga,1070.85
Youssef Zalal,1070.63
Jean Silva,1070.6
Josh Samman,1070.33
Niko Price,1070.28
Jimmy Crute,1070.19
Seth Baczynski,1070.15
Miguel Baeza,1070.15
Tim Kennedy,1070.09
Terry Etim,1070.05
Dooho Choi,1070.05
JJ Aldrich,1069.74
Loma Lookboonmee,1069.66
Sage Northcutt,1069.57
Curtis Millender,1069.35
Gerald Meerschaert,1069.33
Dustin Hazelett,1069.17
Ray Borg,1069.0
Miles Johns,1068.93
Krzysztof Soszynski,1068.82
Montana De La Rosa,1068.53
Brian Kelleher,1068.34
Renato Sobral,1068.31
Rogerio Nogueira,1068.23
Jared Gordon,1067.99
Kyle Noke,1067.93
Paul Sass,1067.88
Abdul Razak Alhassan,1067.81
Joe Pyfer,1067.81
Brian Stann,1067.59
Shamil Abdurakhimov,1067.5
Tim Credeur,1067.48
Muhammad Naimov,1067.35
Christian Rodriguez,1067.28
Mickey Gall,1066.95
Patrick Cote,1066.92
Carlston Harris,1066.77
Joe Duffy,1066.67
Mike Malott,1066.58
Michelle Waterson-Gomez,1066.54
Zubaira Tukhugov,1066.5
Tom Breese,1066.48
Trevin Giles,1066.43
David Onama,1066.43
Claudia Gadelha,1066.31
Edimilson Souza,1066.28
Caio Magalhaes,1066.15
Matt Frevola,1066.09
Matthew Semelsberger,1065.99
Billy Quarantillo,1065.96
Kennedy Nzechukwu,1065.9
