Fighter,Peak Elo
Islam Makhachev,2109.54
Kamaru Usman,2092.59
Leon Edwards,2083.9
Belal Muhammad,2053.18
Jon Jones,2033.88
Georges St-Pierre,2012.3
Alexander Volkanovski,2010.57
Khabib Nurmagomedov,1992.11
Aljamain Sterling,1990.74
Stipe Miocic,1990.23
Francis Ngannou,1989.11
Daniel Cormier,1978.16
Israel Adesanya,1961.27
Charles Oliveira,1958.45
Max Holloway,1937.76
Merab Dvalishvili,1914.85
Tyron Woodley,1913.36
Robert Whittaker,1906.53
Dustin Poirier,1899.46
Dricus Du Plessis,1892.05
Jan Blachowicz,1882.44
Chris Weidman,1881.74
Alex Pereira,1867.44
Tony Ferguson,1863.85
Justin Gaethje,1858.04
Anderson Silva,1855.88
Henry Cejudo,1844.84
Glover Teixeira,1837.08
Rafael Dos Anjos,1833.35
Colby Covington,1820.82
Robbie Lawler,1805.65
Tom Aspinall,1794.36
Yoel Romero,1791.89
Ilia Topuria,1789.66
Sean O'Malley,1788.25
Gilbert Burns,1787.43
Beneil Dariush,1783.91
Arman Tsarukyan,1782.97
Khamzat Chimaev,1782.14
Frankie Edgar,1779.15
Jared Cannonier,1776.06
Michael Bisping,1774.78
Benson Henderson,1767.0
Anthony Johnson,1765.46
Johny Hendricks,1757.69
Ciryl Gane,1753.26
TJ Dillashaw,1750.78
Fabricio Werdum,1750.35
Vicente Luque,1743.02
Conor McGregor,1742.12
Yair Rodriguez,1740.98
Chuck Liddell,1740.85
Cory Sandhagen,1736.32
Cain Velasquez,1735.41
Luke Rockhold,1735.35
Demian Maia,1734.17
Derrick Lewis,1733.26
Curtis Blaydes,1730.56
Zhang Weili,1721.67
Donald Cerrone,1721.51
Shavkat Rakhmonov,1717.76
Demetrious Johnson,1717.61
Brian Ortega,1717.58
Deiveson Figueiredo,1717.55
Jack Della Maddalena,1714.17
Alistair Overeem,1706.88
Jose Aldo,1705.88
Nassourdine Imavov,1703.0
Amanda Nunes,1700.61
Derek Brunson,1695.03
Sergei Pavlovich,1694.59
Valentina Shevchenko,1693.53
Sean Strickland,1691.17
Brandon Moreno,1690.39
Magomed Ankalaev,1687.27
Gegard Mousasi,1686.34
Kelvin Gastelum,1686.08
Michael Chiesa,1684.88
Josh Emmett,1684.77
Ryan Bader,1683.87
Junior Dos Santos,1683.25
Manon Fiorot,1678.09
Alexander Volkov,1677.01
Marlon Vera,1676.18
Sean Brady,1675.93
BJ Penn,1674.6
Rose Namajunas,1671.52
Mateusz Gamrot,1671.05
Rashad Evans,1665.61
