Fighter,Elo Rating
Jon Jones,1354.71
Georges St-Pierre,1314.17
Islam Makhachev,1292.79
Khabib Nurmagomedov,1255.15
Belal Muhammad,1243.87
Charles Oliveira,1243.13
Leon Edwards,1235.75
Francis Ngannou,1233.96
Max Holloway,1231.04
Amanda Nunes,1223.53
Aljamain Sterling,1223.3
Demetrious Johnson,1217.92
Kamaru Usman,1212.91
Dustin Poirier,1205.14
Stipe Miocic,1198.9
Alexander Volkanovski,1198.05
Alex Pereira,1196.01
Dricus Du Plessis,1195.32
Ilia Topuria,1192.91
Daniel Cormier,1192.28
Khamzat Chimaev,1190.65
Merab Dvalishvili,1189.53
Magomed Ankalaev,1185.87
Robert Whittaker,1185.01
Deiveson Figueiredo,1177.94
Valentina Shevchenko,1175.12
Alexander Volkov,1174.64
Ryan Bader,1174.11
Beneil Dariush,1173.32
Colby Covington,1173.11
Alexandre Pantoja,1172.78
Grant Dawson,1170.08
Tom Aspinall,1169.94
Ciryl Gane,1169.28
Arman Tsarukyan,1169.26
Sean Strickland,1168.81
Israel Adesanya,1168.5
Brendan Allen,1164.97
Sean O'Malley,1164.95
Glover Teixeira,1164.2
Cain Velasquez,1163.42
Royce Gracie,1162.49
Arnold Allen,1161.67
TJ Dillashaw,1161.65
Ian Machado Garry,1158.81
Jack Della Maddalena,1158.74
Curtis Blaydes,1157.9
Randy Brown,1157.01
Zhang Weili,1156.66
Shavkat Rakhmonov,1155.81
Movsar Evloev,1155.2
Gegard Mousasi,1154.3
Anthony Johnson,1152.86
Jon Fitch,1152.6
Benson Henderson,1152.44
Jan Blachowicz,1152.43
Don Frye,1151.03
Vicente Luque,1150.61
Michael Bisping,1150.33
Renato Moicano,1148.8
Demian Maia,1148.12
Henry Cejudo,1148.02
Cory Sandhagen,1147.17
Manon Fiorot,1144.23
Tatiana Suarez,1143.91
Mario Bautista,1142.04
Francisco Trinaldo,1140.25
Petr Yan,1139.95
Justin Gaethje,1139.49
Caio Borralho,1138.41
Conor McGregor,1138.3
Maycee Barber,1137.79
Sean Brady,1137.3
John Lineker,1137.28
Dan Hooker,1136.57
Joaquin Buckley,1135.69
Lerone Murphy,1134.22
Muhammad Mokaev,1133.06
Dong Hyun Kim,1131.57
Erin Blanchfield,1131.38
Umar Nurmagomedov,1130.95
Josh Emmett,1130.72
Drakkar Klose,1130.5
Jailton Almeida,1129.66
Lyoto Machida,1129.51
Matt Hughes,1128.78
Jose Aldo,1128.43
Gilbert Burns,1128.06
Song Yadong,1128.0
Paddy Pimblett,1127.94
Carlos Ulberg,1127.93
Marlon Vera,1127.61
Nassourdine Imavov,1126.99
Fabricio Werdum,1126.88
Raquel Pennington,1126.54
Brandon Moreno,1126.33
Rustam Khabilov,1125.2
Yair Rodriguez,1124.95
Gregor Gillespie,1124.94
Montel Jackson,1124.28
Kenny Florian,1124.01
Randy Couture,1123.45
Derek Brunson,1121.95
Derrick Lewis,1121.95
Michel Pereira,1121.73
TJ Grant,1120.34
Norma Dumont,1120.31
Yoel Romero,1119.36
Anthony Hernandez,1118.24
Zabit Magomedsharipov,1118.08
Chris Gutierrez,1117.55
Natalia Silva,1117.42
Rose Namajunas,1117.36
Nate Diaz,1117.14
Michael Morales,1116.54
Joseph Benavidez,1115.72
Brian Ortega,1114.91
Rinat Fakhretdinov,1114.66
Giga Chikadze,1114.37
Jim Miller,1114.13
Mateusz Gamrot,1113.89
Gunnar Nelson,1113.14
Julianna Pena,1112.36
Roman Dolidze,1111.5
Phil Davis,1111.31
Zak Cummings,1111.13
Tyron Woodley,1111.02
Diego Lopes,1110.67
Yan Xiaonan,1108.82
Elizeu Zaleski dos Santos,1108.58
Diego Ferreira,1107.89
James Krause,1107.37
Geoff Neal,1107.31
Neil Magny,1107.18
Frank Shamrock,1106.91
Michael Chiesa,1106.91
Alistair Overeem,1106.74
Kyoji Horiguchi,1106.64
Marvin Vettori,1106.52
Alexa Grasso,1106.36
Marcin Tybura,1106.09
Brandon Royval,1105.69
Said Nurmagomedov,1104.98
Jack Hermansson,1104.86
Anthony Pettis,1104.38
Rory MacDonald,1104.05
Rob Font,1103.91
Anderson Silva,1103.85
Virna Jandiroba,1102.86
Rich Franklin,1102.76
Gregory Rodrigues,1102.57
Darren Elkins,1102.42
Nikita Krylov,1102.06
Carlos Prates,1101.76
Chuck Liddell,1101.17
Serghei Spivac,1100.98
Robbie Lawler,1100.7
Jairzinho Rozenstruik,1100.44
Nasrat Haqparast,1099.98
Forrest Griffin,1099.0
Bryan Battle,1098.64
Vitor Belfort,1098.62
Sean Woodson,1098.5
Gillian Robertson,1098.42
Jamahal Hill,1098.18
Jonathan Martinez,1098.05
Josh Barnett,1097.75
Cristiane Justino,1097.73
Mairbek Taisumov,1097.65
Chris Weidman,1097.16
Rick Story,1097.07
Jessica Andrade,1096.73
Tatsuro Taira,1096.42
Ricardo Lamas,1096.24
Chas Skelly,1095.84
Tim Sylvia,1095.24
Dominick Cruz,1094.84
Dan Severn,1094.75
Muslim Salikhov,1094.65
Sergei Pavlovich,1094.53
Shane Burgos,1094.25
Khaos Williams,1093.84
Matt Lindland,1093.83
Jared Cannonier,1093.64
Pat Miletich,1093.57
Rafael Dos Anjos,1093.24
Thiago Silva,1092.55
Jake Matthews,1092.47
Frankie Edgar,1092.14
Elias Theodorou,1091.57
Erik Perez,1090.84
Azamat Murzakanov,1090.67
Joel Alvarez,1090.55
Anthony Rocco Martin,1090.54
Corey Anderson,1090.51
Michel Prazeres,1090.38
Steve Garcia,1090.36
Chad Mendes,1089.1
Ludovit Klein,1089.06
Macy Chiasson,1088.34
Edson Barboza,1088.26
JunYong Park,1087.61
Bryce Mitchell,1087.41
Germaine de Randamie,1087.05
Nathaniel Wood,1086.62
Rani Yahya,1086.49
Jorge Masvidal,1085.87
Rashid Magomedov,1085.55
Anthony Smith,1085.28
Kelvin Gastelum,1085.24
Yushin Okami,1085.04
John Hathaway,1085.04
Urijah Faber,1084.96
Sean Sherk,1084.93
Mark Kerr,1084.87
Junior Dos Santos,1084.77
Aiemann Zahabi,1083.87
Andre Muniz,1083.53
Shara Magomedov,1083.33
Chepe Mariscal,1083.3
Marcus McGhee,1083.21
Katlyn Cerminara,1083.12
William Gomis,1082.63
Nicolas Dalby,1082.62
Amanda Lemos,1082.47
Martin Kampmann,1082.17
Paul Felder,1081.36
Oleg Taktarov,1081.16
Fares Ziam,1081.11
Jasmine Jasudavicius,1081.08
Asu Almabayev,1080.98
Chan Sung Jung,1080.97
Bo Nickal,1080.72
Amir Albazi,1080.64
Cheick Kongo,1080.43
Matt Hamill,1080.06
David Teymur,1080.04
Farid Basharat,1079.89
Daniel Rodriguez,1079.41
Ryan Hall,1079.26
Carla Esparza,1079.19
Jordan Johnson,1079.1
Andre Petroski,1078.59
Miranda Maverick,1078.58
Thales Leites,1078.36
Khalil Rountree Jr.,1078.12
Pedro Rizzo,1077.94
Stephen Thompson,1077.75
Mick Parkin,1077.72
Joanderson Brito,1077.59
Marcos Rogerio de Lima,1077.5
Kyler Phillips,1077.41
Rousimar Palhares,1077.07
Kevin Holland,1076.79
Ronda Rousey,1075.93
Quinton Jackson,1075.76
Krzysztof Jotko,1075.63
Mike Pierce,1075.61
Adrian Yanez,1075.13
Alan Belcher,1074.4
Rafael Fiziev,1074.37
Tracy Cortez,1074.17
Kai Kara-France,1073.88
Santiago Ponzinibbio,1073.73
Roger Huerta,1073.66
Omari Akhmedov,1073.4
Jiri Prochazka,1072.99
Taylor Lapilus,1072.75
Ignacio Bahamondes,1072.65
Rashad Evans,1072.41
Thiago Santos,1072.16
Alexandr Romanov,1072.14
Dennis Siver,1071.69
Uriah Hall,1071.28
Waldo Cortes-Acosta,1070.98
Nate Quarry,1070.87
Li Jingliang,1070.76
Youssef Zalal,1070.63
Jean Silva,1070.6
Loma Lookboonmee,1069.66
Sage Northcutt,1069.57
Pat Sabatini,1069.17
Johny Hendricks,1068.98
Miles Johns,1068.93
Dominick Reyes,1068.83
Ryan LaFlare,1068.41
Irene Aldana,1068.23
Jared Rosholt,1068.21
Joe Pyfer,1067.81
Cody Garbrandt,1067.51
Mackenzie Dern,1067.47
Jens Pulver,1067.35
Al Iaquinta,1067.21
King Green,1067.14
Sergio Pettis,1067.11
Matt Brown,1066.69
David Onama,1066.43
Mike Swick,1066.26
Mike Malott,1065.91
Joanna Jedrzejczyk,1065.9
Iasmin Lucindo,1065.59
Kevin Lee,1064.94
Ketlen Vieira,1064.91
Myles Jury,1064.65
Mike Davis,1064.59
Payton Talbott,1064.54
Paulo Costa,1064.01
Leonardo Santos,1063.64
Martin Buday,1063.6
Rodolfo Vieira,1063.51
Brett Johns,1063.37
Daniel Marcos,1063.31
Ricky Simon,1063.2
Mateusz Rebecki,1062.79
Matthew Riddle,1062.75
Chael Sonnen,1062.52
Cub Swanson,1062.42
Mark Bocek,1062.23
Chris Lytle,1062.17
Tagir Ulanbekov,1062.11
Alex Caceres,1062.06
Jimmie Rivera,1061.93
Benoit Saint Denis,1061.84
Matt Mitrione,1061.81
Karine Silva,1061.65
Raul Rosas Jr.,1061.5
Tabatha Ricci,1061.48
Diego Sanchez,1061.36
Ricco Rodriguez,1060.94
Ruslan Magomedov,1060.87
Alejandro Perez,1060.31
Jalin Turner,1060.28
Sodiq Yusuff,1060.24
Chase Hooper,1059.95
Lauren Murphy,1059.6
Chris Curtis,1059.59
Amanda Ribas,1059.47
Calvin Kattar,1058.98
Oban Elliott,1058.97
Karo Parisyan,1058.86
Karol Rosa,1058.83
Jacqueline Cavalcanti,1058.11
Dustin Ortiz,1058.06
Alex Morono,1057.94
Luke Rockhold,1057.91
Donald Cerrone,1057.59
Drew Dober,1057.43
Justin Willis,1057.15
Volkan Oezdemir,1057.14
Jeff Molina,1057.09
Rinya Nakamura,1057.04
John Dodson,1056.89
Andre Lima,1056.8
Themba Gorimbo,1056.5
Nate Maness,1056.26
Vitor Petrino,1056.22
Eddie Alvarez,1055.95
Murilo Bustamante,1055.83
Dan Hardy,1055.68
Ailin Perez,1055.65
Ryan Spann,1055.51
Evan Tanner,1055.32
Jerry Bohlander,1055.31
Thiago Tavares,1054.95
Guy Mezger,1054.85
Shane Carwin,1054.67
Jacare Souza,1054.36
Damir Ismagulov,1054.32
Michael McDonald,1054.28
Dan Ige,1054.2
Mark Munoz,1053.79
James Vick,1053.52
Sergio Moraes,1053.38
Tecia Pennington,1053.37
Nazim Sadykhov,1053.27
Jaqueline Amorim,1053.14
Patrick Smith,1053.03
Stevie Ray,1052.91
Tony Ferguson,1052.86
Raphael Assuncao,1052.78
Alan Jouban,1052.72
Chris Wade,1052.3
Michael Graves,1052.27
Renato Sobral,1052.18
Nik Lentz,1052.09
Shawn Jordan,1052.0
Vinc Pichel,1051.85
Jussier Formiga,1051.63
Charles Johnson,1051.17
Max Griffin,1050.94
Casey O'Neill,1050.93
Kayla Harrison,1050.44
Roman Kopylov,1050.32
Laverne Clark,1050.25
Nate Landwehr,1049.72
Alonzo Menifield,1049.24
Francis Carmont,1049.06
Frank Mir,1048.92
Alatengheili,1048.9
Aleksandar Rakic,1048.78
Jared Gordon,1048.72
Kyung Ho Kang,1048.69
Alex Perez,1048.66
Denise Gomes,1048.17
Gabriel Bonfim,1047.91
Joshua Van,1047.91
Lorenz Larkin,1047.7
Viviane Araujo,1047.69
John Moraga,1047.56
Esteban Ribovics,1047.46
Kurt Pellegrino,1047.37
Alexander Gustafsson,1047.36
Claudia Gadelha,1047.36
Ilir Latifi,1047.22
Vinicius Oliveira,1046.63
Jon Madsen,1046.58
Ray Borg,1046.51
Stephan Bonnar,1046.49
Brad Tavares,1046.38
Dean Lister,1046.32
Brady Hiestand,1046.05
Philipe Lins,1046.03
Uros Medic,1046.01
Bryan Caraway,1045.77
Bas Rutten,1045.44
Sean Pierson,1045.33
Ben Rothwell,1045.3
Raoni Barcelos,1045.16
Ken Shamrock,1045.14
Casey Kenney,1045.03
Adlan Amagov,1044.86
Julian Erosa,1044.84
Johnny Walker,1044.61
Joel Sutton,1044.48
Andre Fili,1044.48
Zhang Mingyang,1044.48
Aaron Simpson,1044.19
Carlston Harris,1044.06
Tito Ortiz,1043.72
Hyder Amil,1043.45
Clayton Carpenter,1043.22
Phillip Miller,1043.18
Chris Padilla,1043.15
Alberto Mina,1043.09
Joe Solecki,1042.94
Oumar Sy,1042.93
Zubaira Tukhugov,1042.72
Chris Holdsworth,1042.54
Jack Shore,1042.54
Jean Matsumoto,1042.5
Julio Arce,1042.33
Marco Ruas,1042.2
Luana Carolina,1042.17
Abel Trujillo,1042.16
Edimilson Souza,1041.91
Gerald Meerschaert,1041.8
Jesus Aguilar,1041.8
Kennedy Nzechukwu,1041.73
Dan Henderson,1041.7
Danny Barlow,1041.7
Don Madge,1041.68
Brock Lesnar,1041.67
Charlie Campbell,1041.57
Jeremiah Wells,1041.42
HyunSung Park,1041.42
Trey Waters,1041.25
Desmond Green,1041.13
Christian Rodriguez,1041.08
Jake Shields,1041.06
Claude Patrick,1040.92
Ibo Aslan,1040.91
Gerald Harris,1040.88
Askar Askarov,1040.78
Krzysztof Soszynski,1040.71
Manuel Torres,1040.64
Tainara Lisboa,1040.5
Marina Rodriguez,1040.44
Constantinos Philippou,1040.39
Alex Hunter,1040.15
Chris Duncan,1039.99
Muhammad Naimov,1039.95
Mauricio Ruffy,1039.82
Antonio Carlos Junior,1039.55
Luis Pena,1039.5
Makhmud Muradov,1039.11
Melvin Guillard,1039.08
Viscardi Andrade,1039.07
Paul Daley,1038.92
Josefine Knutsson,1038.85
Tom Breese,1038.77
Loopy Godinez,1038.74
Luana Santos,1038.67
Mark Madsen,1038.54
Matheus Nicolau,1038.16
Claudio Puelles,1038.15
Javid Basharat,1037.99
Charles Radtke,1037.51
George Sotiropoulos,1037.4
Cezar Ferreira,1037.31
Manel Kape,1037.27
Ronaldo Rodriguez,1037.21
Arjan Bhullar,1037.16
Marcus Davis,1037.04
Albert Tumenov,1036.88
Diego Brandao,1036.74
Josh Koscheck,1036.72
Magnus Cedenblad,1036.26
Billy Quarantillo,1036.25
Vladimir Matyushenko,1036.11
Taila Santos,1035.87
Abus Magomedov,1035.69
Thiago Moises,1035.57
Olivier Aubin-Mercier,1035.55
Hakeem Dawodu,1035.49
Iuri Alcantara,1035.37
Ricardo Almeida,1035.24
Patrick Cote,1035.14
Dooho Choi,1035.01
Travis Browne,1035.0
Jeremy Kennedy,1035.0
Jordan Mein,1034.95
Pedro Munhoz,1034.9
Ikram Aliskerov,1034.74
Enrique Barzola,1034.68
Claudio Silva,1034.57
Wilson Gouveia,1034.51
JJ Aldrich,1034.51
Jack Jenkins,1034.33
Melsik Baghdasaryan,1034.25
Joe Lauzon,1034.2
Brian Ebersole,1034.16
Dennis Bermudez,1034.04
Darren Till,1034.02
David Terrell,1033.88
Nicolae Negumereanu,1033.62
Davi Ramos,1033.57
Holly Holm,1033.18
Jorge Rivera,1032.96
Jacob Volkmann,1032.85
Ali Bagautinov,1032.67
Jeff Monson,1032.5
Charles Jourdain,1031.95
Vanessa Demopoulos,1031.77
Ricardo Ramos,1031.73
Maurice Smith,1031.62
Gray Maynard,1031.62
Mike Russow,1031.45
