event,fighter_1,fighter_2,weight,result,method,round,time
UFC Fight Night: Yan vs. Figueiredo,Petr Yan,Deiveson Figueiredo,Bantamweight,win,U-DEC,5,5:00
UFC Fight Night: Yan vs. Figueiredo,Yan Xiaonan,Tabatha Ricci,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Muslim Salikhov,Song Kenan,Welterweight,win,KO/TKO,1,3:49
UFC Fight Night: Yan vs. Figueiredo,Gabriella Fernandes,Wang Cong,Women's Flyweight,win,SUB,2,3:49
UFC Fight Night: Yan vs. Figueiredo,Carlos Ulberg,Volkan Oezdemir,Light Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Zhang Mingyang,Ozzy Diaz,Light Heavyweight,win,KO/TKO,1,2:25
UFC Fight Night: Yan vs. Figueiredo,SuYoung You,Baergeng Jieleyisi,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,DongHun Choi,Kiru Sahota,Flyweight,win,KO/TKO,1,2:36
UFC Fight Night: Yan vs. Figueiredo,Shi Ming,Feng Xiaocan,Women's Strawweight,win,KO/TKO,3,0:46
UFC Fight Night: Yan vs. Figueiredo,Carlos Hernandez,Nyamjargal Tumendemberel,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Lone’er Kavanagh,Jose Ochoa,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Xiao Long,Quang Le,Bantamweight,win,KO/TKO,3,1:28
UFC Fight Night: Yan vs. Figueiredo,Nikolas Motta,Maheshate,Lightweight,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,Jon Jones,Stipe Miocic,Heavyweight,win,KO/TKO,3,4:29
UFC 309: Jones vs. Miocic,Charles Oliveira,Michael Chandler,Lightweight,win,U-DEC,5,5:00
UFC 309: Jones vs. Miocic,Bo Nickal,Paul Craig,Middleweight,win,U-DEC,3,5:00
