event,fight_url,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/a10deecfb8558335,Quillan Salkilld,Mateusz Gamrot,win,"SUB

      

        Rear Naked Choke",1,4:25
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/d5245f5b96b8afdf,Diego Ferreira,Billy Quarantillo,win,U-DEC,3,5:00
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/06bfde3e3577906f,Yadier del Valle,Darren Elkins,win,"KO/TKO

      

        Punch",1,0:35
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/13f31f7a784013a3,Alexia Thainara,Amanda Lemos,win,U-DEC,3,5:00
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/f44ab9e9e4a89735,Ty Miller,Billy Ray Goff,win,"KO/TKO

      

        Punches",3,0:15
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/3050549d19395f6f,Steven Asplund,Guilherme Pat,win,U-DEC,3,5:00
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/13380a8d6cdbb381,Diyar Nurgozhay,Bruno Lopes,win,"KO/TKO

      

        Punches",1,4:59
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/64829a32c78ab656,Jose Montanha,Louie Sutherland,win,"SUB

      

        Neck Crank",1,1:50
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/81ae2a465e0dfa4f,Manoel Sousa,Richie Miranda,win,U-DEC,3,5:00
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/1168a8e59aacfd72,Miles Johns,Gianni Vazquez,win,"KO/TKO

      

        Punch",1,3:09
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/d463229133909215,Juliana Miller,Ravena Oliveira,win,"SUB

      

        Rear Naked Choke",2,1:38
UFC Fight Night: Gamrot vs. Salkilld,http://ufcstats.com/fight-details/ded584e13276cbcb,Carol Foro,Gigi Canuto,win,U-DEC,3,5:00
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/68ae50dbf98dc15f,Uros Medic,Daniel Rodriguez,win,"KO/TKO

      

        Punches",1,0:30
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/0c3c835e681972d3,Navajo Stirling,Jan Blachowicz,win,"KO/TKO

      

        Punches",1,2:56
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/eb8753ed0476b3d1,Aleksandar Rakic,Marcin Tybura,win,U-DEC,3,5:00
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/f425b7a527dd53aa,Robert Valentin,Dusko Todorovic,win,"SUB

      

        Guillotine Choke",1,4:14
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/7ecb154439aca0f9,Gilbert Urbina,Vlasto Cepo,win,"KO/TKO

      

        Elbows",1,1:01
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/fec91da886d80200,Noah Gugnon,Milos Janicic,win,"SUB

      

        Rear Naked Choke",1,1:21
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/fbd99ae7e1ff993a,Tofiq Musayev,Ludovit Klein,win,"KO/TKO

      

        Punches",2,4:07
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/f1bce0c9a3fa4bcb,Michael Oliveira,Oban Elliott,win,"KO/TKO

      

        Punches",1,1:49
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/4350abb4f1933f88,Borislav Nikolic,Mark Vologdin,win,U-DEC,3,5:00
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/13aa6688d0538095,Bogdan Grad,Dennis Buzukja,win,"SUB

      

        Arm Triangle",2,4:33
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/5425c577ed4f50b3,Mateusz Rebecki,Kyle Prepolec,win,"KO/TKO

      

        Punches",1,4:41
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/f78f34ef2ee7b02c,Nina Milosevic,Hailey Cowan,win,"KO/TKO

      

        Punch",1,3:41
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/94cef172179c9778,Jovan Leka,Alexander Poppeck,win,"KO/TKO

      

        Kick",1,2:22
UFC Fight Night: Medic vs. Rodriguez,http://ufcstats.com/fight-details/878a7e6fec3e4573,Stephanie Luciano,Marina Spasic,win,"SUB

      

        Rear Naked Choke",1,3:20
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/9009ec7b91f2be14,Magomed Ankalaev,Bogdan Guskov,win,"KO/TKO

      

        Punches",5,2:41
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/c36cd04f8f560f0a,Ramazan Temirov,Steve Erceg,win,"KO/TKO

      

        Punches",1,4:21
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/4ace64aa144389c5,Magomed Zaynukov,Damian Rzepecki,win,U-DEC,3,5:00
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/5ffb251c6ea48b65,Rizvan Kuniev,Tyrell Fortune,win,"KO/TKO

      

        Knee",3,1:12
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/61280e5644189c61,Abubakar Vagaev,Saygid Izagakhmaev,win,U-DEC,3,5:00
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/d7070ab1b2144f8d,Valter Walker,Thomas Petersen,win,"SUB

      

        Calf Slicer",1,1:32
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/05bc7a042156b6f6,Muhammad Saidov,Dustin Jacoby,win,"KO/TKO

      

        Kick",2,4:49
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/f6e6b004f07363e9,Sam Patterson,Santiago Ponzinibbio,win,"KO/TKO

      

        Punches",2,3:06
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/a122306d0ce5fbfb,Axel Sola,Ismael Bonfim,win,"SUB

      

        D'Arce Choke",1,4:44
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/3ac870d6e7d323b7,Magomed Tuchalov,Brendson Ribeiro,win,U-DEC,3,5:00
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/3859314324918eeb,Nurullo Aliev,Mike Davis,win,U-DEC,3,5:00
UFC Fight Night: Ankalaev vs. Guskov,http://ufcstats.com/fight-details/532340708f0500bd,Abdul Hussein,Cody Gibson,win,"SUB

      

        Arm Triangle",3,3:07
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/701c97405da76603,Dricus Du Plessis,Kamaru Usman,win,U-DEC,5,5:00
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/4eff5a845db17572,Christian Leroy Duncan,Jared Cannonier,win,U-DEC,3,5:00
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/f2abca7379982d4f,Chase Hooper,Mitch Ramirez,win,"SUB

      

        Rear Naked Choke",1,2:15
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/52ddf20a10890b41,Fatima Kline,Tabatha Ricci,win,U-DEC,3,5:00
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/c64c6ba6eb1e1d06,Tommy McMillen,Alberto Montes,win,"KO/TKO

      

        Punches",3,3:29
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/3bd159c1bed14700,Jose Delgado,Austin Bashi,win,U-DEC,3,5:00
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/f2eb569176e46edf,Jean-Paul Lebosnoyani,Seokhyeon Ko,win,U-DEC,3,5:00
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/46d800ce45fdd3e6,Felipe Franco,Levi Rodrigues Jr.,win,"KO/TKO

      

        Punches",2,1:40
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/9e525f939fba3e73,Ezra Elliott,Damien Anderson,win,U-DEC,3,5:00
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/410e6b9e01660b35,Alden Coria,Stewart Nicoll,win,U-DEC,3,5:00
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/e05155c1b5c2dc74,RJ Harris,Alvin Hines,win,"KO/TKO

      

        Punch",1,1:40
UFC Fight Night: Du Plessis vs. Usman,http://ufcstats.com/fight-details/307ea95ad7ebe466,Dione Barbosa,Anna Melisano,win,"SUB

      

        Rear Naked Choke",1,4:04
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/989760fa75321d69,Max Holloway,Conor McGregor,win,KO/TKO,1,1:09
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/130b325610c54a64,Paddy Pimblett,Benoit Saint Denis,win,"SUB

      

        D'Arce Choke",1,0:52
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/c572daedf2012a49,Mario Bautista,Cory Sandhagen,win,U-DEC,3,5:00
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/a3ab1979192b647c,Brandon Royval,Lone'er Kavanagh,win,"SUB

      

        Rear Naked Choke",3,3:40
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/a26ea74f2e908842,King Green,Terrance McKinney,win,"KO/TKO

      

        Punch",1,4:59
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/7765e5e779dd7dc9,Robert Whittaker,Nikita Krylov,win,"KO/TKO

      

        Punch",3,1:01
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/118c25bda9392140,Gable Steveson,Elisha Ellison,win,"KO/TKO

      

        Punches",1,2:31
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/e9f389ba3a1e33c4,Adrian Yanez,Cody Garbrandt,win,"KO/TKO

      

        Punches",1,2:47
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/930317fde9dbc55e,Luke Riley,Kai Kamaka III,win,"KO/TKO

      

        Punches",1,3:03
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/e84c3f1f9a33fa90,Wang Cong,Tracy Cortez,win,U-DEC,3,5:00
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/b223b10ef19f912c,Damian Pinas,Cesar Almeida,win,"KO/TKO

      

        Punch",1,4:44
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/9e00ee7644774e18,Farid Basharat,John Garza,win,U-DEC,3,5:00
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/1162a74e3604c488,Ryan Gandra,Zach Reese,win,"KO/TKO

      

        Punch",1,1:15
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/fight-details/1b6a3b0d27654d3e,Alessandro Costa,Cody Durden,win,"SUB

      

        Rear Naked Choke",2,2:19
UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/fight-details/c13dc0cccef263f7,Rafael Fiziev,Manuel Torres,win,"KO/TKO

      

        Punches",2,0:15
UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/fight-details/012c307c9d446c4d,Shara Magomedov,Michel Pereira,win,U-DEC,3,5:00
UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/fight-details/809814f03ff3140c,Matheus Camilo,Nazim Sadykhov,win,"KO/TKO

      

        Punch",1,1:31
UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/fight-details/81cde317c156723b,Asu Almabayev,Charles Johnson,win,"SUB

      

        Suloev Stretch",3,3:33
UFC Fight Night: Fiziev vs. Torres,http://ufcstats.com/fight-details/d83294b031502177,Ikram Aliskerov,Brunno Ferreira,win,U-DEC,3,5:00
