event,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Moicano vs. Saint Denis,Renato Moicano,Benoit Saint Denis,win,KO/TKO,2,5:00
UFC Fight Night: Moicano vs. Saint Denis,Nassourdine Imavov,Brendan Allen,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,William Gomis,Joanderson Brito,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Bryan Battle,Kevin Jousset,win,KO/TKO,2,3:47
UFC Fight Night: Moicano vs. Saint Denis,Morgan Charriere,Gabriel Miranda,win,KO/TKO,2,0:27
UFC Fight Night: Moicano vs. Saint Denis,Fares Ziam,Matt Frevola,win,KO/TKO,3,2:59
UFC Fight Night: Moicano vs. Saint Denis,Ion Cutelaba,Ivan Erslan,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Oumar Sy,Da Woon Jung,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Ludovit Klein,Roosevelt Roberts,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Taylor Lapilus,Vince Morales,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Ailin Perez,Daria Zhelezniakova,win,SUB,1,3:52
UFC Fight Night: Moicano vs. Saint Denis,Daniel Barez,Victor Altamirano,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Jacqueline Cavalcanti,Nora Cornolle,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Chris Duncan,Bolaji Oki,Win,SUB,1,3:34
UFC 306: Riyadh Season Noche UFC,Merab Dvalishvili,Sean O'Malley,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,Valentina Shevchenko,Alexa Grasso,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,Diego Lopes,Brian Ortega,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Esteban Ribovics,Daniel Zellhuber,win,S-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Ronaldo Rodriguez,Ode Osbourne,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Norma Dumont,Irene Aldana,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Ignacio Bahamondes,Manuel Torres,win,"KO/TKO

      

        Punch",1,4:02
UFC 306: Riyadh Season Noche UFC,Ketlen Souza,Yazmin Jauregui,win,"SUB

      

        Rear Naked Choke",1,3:02
UFC 306: Riyadh Season Noche UFC,Joshua Van,Edgar Chairez,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Raul Rosas Jr.,Aoriqileng,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Sean Brady,Gilbert Burns,win,U-DEC,5,5:00
UFC Fight Night: Burns vs. Brady,Natalia Silva,Jessica Andrade,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Steve Garcia,Kyle Nelson,win,"KO/TKO

      

        Elbows",1,3:59
UFC Fight Night: Burns vs. Brady,Cody Durden,Matt Schnell,win,"SUB

      

        Guillotine Choke",2,0:29
UFC Fight Night: Burns vs. Brady,Yanal Ashmouz,Trevor Peek,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Chris Padilla,Rongzhu,win,KO/TKO,2,4:14
UFC Fight Night: Burns vs. Brady,Isaac Dulgarian,Brendon Marotte,win,"SUB

      

        Arm Triangle",2,4:19
